policy,scenario,total_transactions,total_batches,avg_batch_size,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_throughput_tps,total_proof_size_bytes,verification_success_rate,sla_violations,batch_efficiency
fixedcount,steady,1000,10,100.00,661.90,662.00,662.00,662.00,151.08,34560,1.0000,10,0.2557
fixedcount,bursty,1000,10,100.00,661.90,662.00,662.00,662.00,151.08,34560,1.0000,10,0.2537
fixedcount,poisson,1000,10,100.00,661.90,662.00,662.00,662.00,151.08,34560,1.0000,10,0.2523
fixedcount,mixed_priority,1000,10,100.00,661.90,662.00,662.00,662.00,151.08,34560,1.0000,10,0.2503
fixedcount,idle_then_spike,1000,10,100.00,662.00,662.00,662.00,662.00,151.06,34560,1.0000,10,0.2586
fixedtime,steady,1000,86,11.63,129.77,132.00,132.00,132.00,89.54,54016,1.0000,0,0.1693
fixedtime,bursty,1000,148,6.76,100.54,102.00,120.00,132.00,66.30,69888,1.0000,0,0.1313
fixedtime,poisson,1000,89,11.24,127.42,132.00,156.00,162.00,86.51,54784,1.0000,0,0.1646
fixedtime,mixed_priority,1000,51,19.61,177.65,174.00,198.00,204.00,110.09,45056,1.0000,2,0.1961
fixedtime,idle_then_spike,1000,537,1.86,71.18,66.00,78.00,84.00,20.03,169472,1.0000,2,0.0570
hybrid,steady,1000,86,11.63,129.77,132.00,132.00,132.00,89.54,54016,1.0000,0,0.1693
hybrid,bursty,1000,148,6.76,100.54,102.00,120.00,132.00,66.30,69888,1.0000,0,0.1313
hybrid,poisson,1000,89,11.24,127.42,132.00,156.00,162.00,86.51,54784,1.0000,0,0.1646
hybrid,mixed_priority,1000,51,19.61,177.65,174.00,198.00,204.00,110.09,45056,1.0000,2,0.1961
hybrid,idle_then_spike,1000,626,1.60,69.59,66.00,78.00,84.00,19.33,192256,1.0000,2,0.0503
adaptive,steady,1000,990,1.01,66.06,66.00,66.00,66.00,15.22,285440,1.0000,0,0.0336
adaptive,bursty,1000,328,3.05,78.29,66.00,108.00,126.00,33.50,115968,1.0000,0,0.0806
adaptive,poisson,1000,987,1.01,66.08,66.00,66.00,66.00,15.26,284672,1.0000,0,0.0331
adaptive,mixed_priority,1000,984,1.02,66.10,66.00,66.00,66.00,15.24,283904,1.0000,0,0.0329
adaptive,idle_then_spike,1000,736,1.36,68.15,66.00,78.00,84.00,18.51,220416,1.0000,1,0.0440
